"","match_url","Mat_avg","Inns_Bat_avg","NO_avg","Runs_Bat_avg","Runs_Bat_avg.1","HS_avg","HS_max","Ave_Bat_avg","Ave_Bat_max","BF_avg","SR_Bat_avg","SR_Bat_max","X100_avg","X100_max","X50_avg","X50_max","X4s_avg","X4s_max","X6s_avg","X6s_max","Ct_avg","Ct_max","St_avg","St_max","Inns_Bowl_avg","Balls_avg","Runs_Bowl_avg","Wkts_avg","Wkts_max","Ave_Bowl_avg","Ave_Bowl_min","Econ_avg","Econ_min","SR_Bowl_avg","SR_Bowl_min","X4w_avg","X4w_max","X5w_avg","X5w_max","X10_avg","X10_max","Output"
"1","http://www.espncricinfo.com/series/10609/scorecard/1004285/scotland-vs-hong-kong-2nd-odi-hkg-in-scotland-2016",18.8181818181818,15.3636363636364,2.36363636363636,395.181818181818,395.181818181818,16.3636363636364,32,-0.244,-8.95,451.727272727273,12.4845454545455,-5.48,1.18181818181818,6,1.63636363636364,4,42.4545454545455,185,3.72727272727273,2,11.0909090909091,53,0.272727272727273,1,11.3055555555556,362.236111111111,363.027777777778,7.375,16,28.2568253968254,11.26,0.123611111111111,1.1,23.4,5,0.263888888888889,-2,0.222222222222222,1,0,0,0
"2","http://www.espncricinfo.com/series/10617/scorecard/1000887/australia-vs-pakistan-1st-odi-pak-tour-of-aus-2016-17",0.18181818181818,2.72727272727273,-0.636363636363637,26.090909090909,26.090909090909,-3.18181818181819,-27,2.48909090909091,8.09,269.909090909091,3.91,-7.64999999999999,-0.181818181818182,-3,0.545454545454545,15,3.72727272727272,170,-3.18181818181818,26,-7.63636363636364,-30,0.363636363636364,4,14.5714285714286,860.301587301587,514.079365079365,11.1428571428571,-8,0.73321428571429,1.97,-0.658095238095238,-0.850000000000001,4.13928571428571,0.5,-1.07936507936508,-5,0.0476190476190477,-2,0,0,1
"3","http://www.espncricinfo.com/series/10617/scorecard/1000889/australia-vs-pakistan-2nd-odi-pak-tour-of-aus-2016-17",19,19.9090909090909,2,537.272727272727,537.272727272727,-5,-27,-0.854545454545455,8.09,914.454545454545,-4.78090909090909,-7.64999999999999,0.363636363636364,-3,3.54545454545454,24,42.5454545454545,170,3.54545454545455,38,-1.45454545454545,-14,0.363636363636364,4,35.8888888888889,1577.65079365079,1010.55555555556,23.6349206349206,11,-2.72958333333333,1.97,-0.278888888888889,-0.630000000000001,2.68333333333333,0.5,-1.19047619047619,-5,-0.428571428571429,-2,0,0,0
"4","http://www.espncricinfo.com/series/10617/scorecard/1000891/australia-vs-pakistan-3rd-odi-pak-tour-of-aus-2016-17",29.3636363636364,26.8181818181818,4.09090909090909,678.636363636364,678.636363636364,1.36363636363636,-27,1.43090909090909,8.09,1066.45454545455,1.32363636363637,-7.64999999999999,0.454545454545455,-3,4.54545454545454,24,54.6363636363636,170,7.45454545454545,38,1.90909090909091,-14,0.363636363636364,4,45.125,1988.17857142857,1353.375,39.3571428571429,60,-5.19333333333333,-1.74,-0.37625,-0.630000000000001,0.36904761904762,-5.4,-0.232142857142857,0,0.196428571428571,0,0,0,1
"5","http://www.espncricinfo.com/series/10617/scorecard/1000893/australia-vs-pakistan-4th-odi-pak-tour-of-aus-2016-17",25.7272727272727,26.5454545454545,4.36363636363636,785.545454545455,785.545454545455,7,-27,4.01545454545455,8.09,1163,-1.08090909090909,-7.64999999999999,0.818181818181818,-3,5.09090909090909,24,65,170,10.1818181818182,38,0.909090909090907,-14,0.363636363636364,4,42.4642857142857,1787.57142857143,1210.44642857143,29.4285714285714,11,1.18142857142857,1.97,-0.736607142857143,-0.630000000000001,5.2,0.5,-0.857142857142857,-5,-0.428571428571429,-2,0,0,1
"6","http://www.espncricinfo.com/series/10617/scorecard/1000895/australia-vs-pakistan-5th-odi-pak-tour-of-aus-2016-17",25.3636363636364,26.4545454545455,2.90909090909091,744.272727272727,744.272727272727,4.54545454545455,-27,1.61818181818182,8.09,1143.63636363636,-4.17818181818183,-7.64999999999999,0.727272727272727,-3,4.90909090909091,24,62.5454545454546,170,9.36363636363636,38,0.63636363636364,-14,0.363636363636364,4,46.0634920634921,1956.85714285714,1403.47619047619,34.8571428571429,11,1.73571428571429,1.97,-0.552063492063492,-0.630000000000001,4.53214285714286,0.5,-0.507936507936508,-5,-0.317460317460317,-2,0,0,1
"7","http://www.espncricinfo.com/series/10620/scorecard/1001371/australia-vs-new-zealand-1st-odi-nz-tour-of-aus-2016-17",-9.72727272727273,-5.81818181818182,0.545454545454545,-189.545454545455,-189.545454545455,-8.45454545454545,58,-1.18454545454546,2.85,-157.636363636364,3.08818181818182,9.39,-1,-1,-1,12,-10.2727272727273,159,-1.36363636363636,72,-9.36363636363636,-32,-0.363636363636364,-4,0.555555555555557,-81.7777777777778,-36.6666666666667,-3.44444444444444,-19,-3.95527777777778,3.06,-0.178888888888888,0.17,-4.58472222222223,1,-0.222222222222222,-4,-0.111111111111111,-1,0,0,1
"8","http://www.espncricinfo.com/series/10620/scorecard/1001373/australia-vs-new-zealand-2nd-odi-nz-tour-of-aus-2016-17",-2.45454545454545,-2.54545454545455,1.09090909090909,-219.363636363636,-219.363636363636,-13.7272727272727,58,-3.30818181818182,2.85,-183.818181818182,4.26818181818182,1.7,-1.09090909090909,-1,-1.27272727272727,12,-12.5454545454545,159,-1.72727272727273,72,-7.54545454545454,-32,-0.363636363636364,-4,9.44444444444444,391,383.888888888889,6.66666666666667,32,-2.47083333333334,3.06,-0.191111111111111,0.17,-2.93194444444445,1,-0.222222222222222,-4,0,-1,0,0,1
"9","http://www.espncricinfo.com/series/10620/scorecard/1001375/australia-vs-new-zealand-3rd-odi-nz-tour-of-aus-2016-17",-5,-3.72727272727273,1.18181818181818,-246.090909090909,-246.090909090909,-15.5454545454545,58,-3.75909090909091,2.85,-197.363636363636,-1.62909090909091,1.7,-1.09090909090909,-1,-1.09090909090909,12,-16.9090909090909,159,-2.54545454545455,72,-8.54545454545454,-32,-0.363636363636364,-4,8.91666666666666,389.819444444444,351.972222222222,5.18055555555556,32,-2.3875,3.06,-0.318055555555556,0.17,-1.9625,1.3,-0.861111111111111,-4,0,-1,0,0,1
"10","http://www.espncricinfo.com/series/10625/scorecard/1003273/scotland-vs-afghanistan-2nd-odi-afg-tour-of-europe-2016",-29.6363636363636,-26.8181818181818,-3.90909090909091,-586.454545454545,-586.454545454545,-16.6363636363636,25,-3.06727272727273,6.36,-769.090909090909,8.59545454545454,65.47,-0.181818181818182,-1,-3.09090909090909,-1,-44.6363636363636,-35,-18.5454545454545,-52,-5.72727272727273,6,-1.72727272727273,-21,-19.7777777777778,-991.555555555555,-675.111111111111,-28.5555555555556,-64,27.59375,7.1,0.586666666666667,0.17,19.6625,-0.199999999999999,-0.777777777777778,-2,-0.333333333333333,-3,0,0,1
