"","Mat_Bat","Inns_Bat","NO","Runs_Bat","HS","Ave_Bat","BF","SR_Bat","100","50","4s","6s","Ct","St","Mat_Bowl","Inns_Bowl","Balls","Runs_Bowl","Wkts","Ave_Bowl","Econ","SR_Bowl","4w","5w","10","Full_Name","Country","Batting_Style","Bowling_Style"
"835",150,137,21,3393,107,29.25,5020,67.58,2,22,235,32,114,33,150,2,84,61,2,30.5,4.35,42,0,0,0," Tatenda Taibu","Zimbabwe","Batting style Right-hand bat","Bowling style Right-arm medium"
"836",17,15,2,403,79,31,502,80.27,0,4,32,7,9,2,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Forster Mutizwa","Zimbabwe","Batting style Right-hand bat","Bowling style Right-arm offbreak"
"837",102,59,17,406,46,9.66,701,57.91,0,0,31,5,17,0,102,99,5374,3575,100,35.75,3.99,53.7,1,0,0," Raymond William Price","Zimbabwe","Batting style Right-hand bat","Bowling style Slow left-arm orthodox"
"838",19,10,7,12,4,4,47,25.53,0,0,0,0,3,0,19,19,926,800,27,29.62,5.18,34.2,2,0,0," Andrew John McKay","New Zealand","Batting style Right-hand bat","Bowling style Left-arm fast-medium"
"839",11,8,0,106,53,13.25,183,57.92,0,1,10,1,1,0,11,9,406,419,6,69.83,6.19,67.6,0,0,0," Keegan Orry Meth","Zimbabwe","Batting style Right-hand bat","Bowling style Right-arm medium-fast"
"840",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,2,114,98,1,98,5.15,114,0,0,0," Graeme William Aldridge","New Zealand","Batting style Right-hand bat","Bowling style Right-arm fast-medium"
"841",4,2,1,14,11,14,22,63.63,0,0,1,0,0,0,4,4,164,155,3,51.66,5.67,54.6,0,0,0," Luke James Woodcock","New Zealand","Batting style Left-hand bat","Bowling style Slow left-arm orthodox"
"842",1,1,1,0,0,NA,0,NA,0,0,0,0,0,0,1,1,53,69,3,23,7.81,17.6,0,0,0," Njabulo Ncube","Zimbabwe","Batting style Right-hand bat","Bowling style Right-arm fast-medium"
"843",4,3,0,38,19,12.66,72,52.77,0,0,0,0,1,0,4,4,78,80,0,NA,6.15,NA,0,0,0," Chamith Kosala Bandara Kulasekara","Sri Lanka","Batting style Right-hand bat","Bowling style Right-arm fast-medium"
"844",147,61,35,239,20,9.19,392,60.96,0,0,19,2,27,0,147,141,6507,5648,187,30.2,5.2,34.7,3,1,0," Congenige Randhi Dilhara Fernando","Sri Lanka","Batting style Right-hand bat","Bowling style Right-arm fast-medium"
"845",265,228,57,5080,112,29.7,6252,81.25,3,23,382,124,35,0,265,254,10941,8564,269,31.83,4.69,40.6,8,3,0," Abdul Razzaq","Pakistan","Batting style Right-hand bat","Bowling style Right-arm fast-medium"
"846",75,62,7,1587,107,28.85,2254,70.4,1,13,139,10,20,0,75,2,42,33,1,33,4.71,42,0,0,0," Lindamlilage Prageeth Chamara Silva","Sri Lanka","Batting style Right-hand bat","Bowling style Legbreak"
"847",5,3,0,51,24,17,55,92.72,0,0,2,4,1,0,5,5,180,203,3,67.66,6.76,60,0,0,0," Abhimanyu Mithun","India","Batting style Right-hand bat","Bowling style Right-arm medium"
"848",34,31,6,412,50,16.48,636,64.77,0,1,39,8,13,0,34,32,1139,1017,22,46.22,5.35,51.7,0,1,0," Farhad Reza","Bangladesh","Batting style Right-hand bat","Bowling style Right-arm fast-medium"
"849",58,43,10,782,97,23.69,780,100.25,0,2,71,25,15,0,58,52,2073,1899,50,37.98,5.49,41.4,2,0,0," Johannes Albertus Morkel","South Africa","Batting style Left-hand bat","Bowling style Right-arm medium-fast"
"850",2,1,0,13,13,13,10,130,0,0,1,1,1,0,2,2,84,52,2,26,3.71,42,0,0,0," Michael David Bates","New Zealand","Batting style Right-hand bat","Bowling style Left-arm medium-fast"
"851",21,13,7,48,21,8,48,100,0,0,3,1,6,0,21,20,1031,832,44,18.9,4.84,23.4,0,3,0," Ryan James Harris","Australia","Batting style Right-hand bat","Bowling style Right-arm fast"
"852",463,452,41,18426,200,44.83,21367,86.23,49,96,2016,195,140,0,463,270,8054,6850,154,44.48,5.1,52.2,4,2,0," Sachin Ramesh Tendulkar","India","Batting style Right-hand bat","Bowling style Right-arm offbreak, Legbreak googly"
"853",5,4,1,62,27,20.66,89,69.66,0,0,3,0,3,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Adnan Akmal","Pakistan","Batting style Right-hand bat",NA
"854",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,60,39,2,19.5,3.9,30,0,0,0," Danny Richard Briggs","England","Batting style Right-hand bat","Bowling style Slow left-arm orthodox"
"855",11,11,0,147,47,13.36,237,62.02,0,0,18,2,1,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Mohammed Nazimuddin","Bangladesh","Batting style Right-hand bat","Bowling style Right-arm medium"
"856",57,41,11,810,123,27,713,113.6,2,3,62,43,17,0,57,50,1490,1365,33,41.36,5.49,45.1,0,0,0," Yusuf Khan Pathan","India","Batting style Right-hand bat","Bowling style Right-arm offbreak"
"857",47,35,11,482,49,20.08,719,67.03,0,0,37,7,39,12,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Carlton Seymour Baugh","West Indies","Batting style Right-hand bat","Bowling style Legbreak googly"
"858",55,54,7,1308,89,27.82,2133,61.32,0,8,102,8,18,0,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Mohammad Raqibul Hasan","Bangladesh","Batting style Right-hand bat","Bowling style Legbreak"
"859",30,25,9,663,71,41.43,777,85.32,0,5,64,0,7,0,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Callum James Ferguson","Australia","Batting style Right-hand bat","Bowling style Right-arm medium"
"860",7,3,1,22,19,11,39,56.41,0,0,2,0,8,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Mohammad Salman","Pakistan","Batting style Right-hand bat","Bowling style Legbreak"
"861",2,2,0,13,8,6.5,28,46.42,0,0,0,0,1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Usman Salahuddin","Pakistan","Batting style Right-hand bat",NA
"862",2,1,0,18,18,18,12,150,0,0,1,2,1,0,2,2,60,83,2,41.5,8.3,30,0,0,0," Tanvir Ahmed","Pakistan","Batting style Right-hand bat","Bowling style Right-arm fast-medium"
"863",22,22,1,504,81,24,895,56.31,0,3,51,2,9,0,22,3,72,85,1,85,7.08,72,0,0,0," Taufeeq Umar","Pakistan","Batting style Left-hand bat","Bowling style Right-arm offbreak"
"864",70,27,16,74,15,6.72,112,66.07,0,0,7,1,11,0,70,67,3154,2603,86,30.26,4.95,36.6,3,0,0," Munaf Musa Patel","India","Batting style Right-hand bat","Bowling style Right-arm medium-fast"
"865",7,6,1,79,27,15.8,172,45.93,0,0,4,0,2,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Subramaniam Badrinath","India","Batting style Right-hand bat","Bowling style Right-arm offbreak"
"866",445,433,18,13430,189,32.36,14725,91.2,28,68,1500,270,123,0,445,368,14874,11871,323,36.75,4.78,46,8,4,0," Sanath Teran Jayasuriya","Sri Lanka","Batting style Left-hand bat","Bowling style Slow left-arm orthodox"
"867",54,53,1,1196,100,23,1753,68.22,1,6,118,7,23,0,54,2,12,13,0,NA,6.5,NA,0,0,0," Mohammad Junaid Siddique","Bangladesh","Batting style Left-hand bat","Bowling style Right-arm offbreak"
"868",344,318,40,10889,153,39.16,15284,71.24,12,83,950,42,196,14,344,8,186,170,4,42.5,5.48,46.5,0,0,0," Rahul Sharad Dravid","India","Batting style Right-hand bat","Bowling style Right-arm offbreak"
"869",58,20,10,104,23,10.4,242,42.97,0,0,5,1,13,0,58,57,2565,2343,69,33.95,5.48,37.1,2,0,0," Rudra Pratap Singh","India","Batting style Right-hand bat","Bowling style Left-arm fast-medium"
"870",15,14,3,197,37,17.9,381,51.7,0,0,6,1,0,0,15,15,642,467,12,38.91,4.36,53.5,0,0,0," Gregory Arthur Lamb","Zimbabwe","Batting style Right-hand bat","Bowling style Right-arm offbreak"
"871",39,23,13,55,9,5.5,134,41.04,0,0,2,1,8,0,39,39,1907,1401,45,31.13,4.4,42.3,1,1,0," Edward Charles Rainsford","Zimbabwe","Batting style Right-hand bat","Bowling style Right-arm fast-medium"
"872",42,38,4,666,56,19.58,970,68.65,0,2,69,5,11,0,42,33,1560,1134,42,27,4.36,37.1,2,0,0," Andre Cornelius Botha","Ireland","Batting style Left-hand bat","Bowling style Right-arm medium"
"873",2,2,0,14,14,7,22,63.63,0,0,1,0,0,0,2,2,72,118,2,59,9.83,36,0,0,0," Ian Alan Nicolson","Zimbabwe","Batting style Right-hand bat","Bowling style Right-arm fast-medium"
"874",4,4,0,26,14,6.5,59,44.06,0,0,2,0,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Shanan Luke Stewart","New Zealand","Batting style Right-hand bat","Bowling style Right-arm medium"
"875",94,52,21,295,36,9.51,372,79.3,0,0,23,7,20,0,94,92,4333,3534,110,32.12,4.89,39.3,2,0,0," Daryl Raymond Tuffey","New Zealand","Batting style Right-hand bat","Bowling style Right-arm fast-medium"
"876",6,6,0,152,52,25.33,259,58.68,0,1,19,0,3,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Aaron James Redmond","New Zealand","Batting style Right-hand bat","Bowling style Legbreak"
"877",86,72,11,1055,74,17.29,1685,62.61,0,3,92,15,20,0,86,71,2619,2169,48,45.18,4.96,54.5,1,0,0," James Kabatha Kamande","Kenya","Batting style Right-hand bat","Bowling style Right-arm offbreak"
"878",2,1,0,3,3,3,16,18.75,0,0,0,0,1,0,2,2,96,49,2,24.5,3.06,48,0,0,0," Abdullah Mazari","Afghanistan","Batting style Left-hand bat","Bowling style Slow left-arm orthodox"
"879",2,2,0,12,12,6,58,20.68,0,0,0,0,1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Noor-ul-Haq Malekzai","Afghanistan","Batting style Right-hand bat","Bowling style Legbreak"
"880",72,21,10,73,12,6.63,124,58.87,0,0,8,0,11,0,72,71,3489,2962,100,29.62,5.09,34.8,1,2,0," Charl Kenneth Langeveldt","South Africa","Batting style Right-hand bat","Bowling style Right-arm fast-medium"
"881",4,1,0,5,5,5,5,100,0,0,0,0,4,0,4,4,194,173,12,14.41,5.35,16.1,0,1,0," Juan Theron","South Africa","Batting style Right-hand bat","Bowling style Right-arm medium-fast"
"882",221,214,18,6571,142,33.52,9723,67.58,6,40,NA,NA,86,0,221,156,5462,4225,104,40.62,4.64,52.5,2,0,0," Grant William Flower","Zimbabwe","Batting style Right-hand bat","Bowling style Slow left-arm orthodox"
"883",37,34,7,514,45,19.03,851,60.39,0,0,32,8,12,0,37,35,1109,936,23,40.69,5.06,48.2,0,0,0," Keith Mbusi Dabengwa","Zimbabwe","Batting style Left-hand bat","Bowling style Slow left-arm orthodox"
"884",84,61,8,1326,63,25.01,1415,93.71,0,3,123,6,25,0,84,75,3157,2384,67,35.58,4.53,47.1,0,1,0," James Redfern Hopes","Australia","Batting style Right-hand bat","Bowling style Right-arm medium"
"885",58,32,17,336,53,22.4,349,96.27,0,1,21,8,24,0,58,56,2724,2152,63,34.15,4.74,43.2,2,0,0," Nathan Michael Hauritz","Australia","Batting style Right-hand bat","Bowling style Right-arm offbreak"
"886",120,46,21,141,24,5.64,246,57.31,0,0,12,3,18,0,120,120,5751,4981,157,31.72,5.19,36.6,5,2,0," Ashish Nehra","India","Batting style Right-hand bat","Bowling style Left-arm medium-fast"
"887",3,2,2,49,37,NA,56,87.5,0,0,5,1,2,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Saurabh Sunil Tiwary","India","Batting style Left-hand bat",NA
"888",4,4,2,48,19,24,68,70.58,0,0,3,0,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Zulqarnain Haider","Pakistan","Batting style Right-hand bat",NA
"889",163,84,40,394,43,8.95,538,73.23,0,0,27,12,20,0,163,162,7764,6169,247,24.97,4.76,31.4,6,4,0," Shoaib Akhtar","Pakistan","Batting style Right-hand bat","Bowling style Right-arm fast"
"890",17,4,2,21,9,10.5,18,116.66,0,0,1,0,1,0,17,16,751,581,15,38.73,4.64,50,0,0,0," Peter Matthew Siddle","Australia","Batting style Right-hand bat","Bowling style Right-arm fast-medium"
"891",350,162,63,674,33,6.8,869,77.56,0,0,50,12,130,0,350,341,18811,12326,534,23.08,3.93,35.2,15,10,0," Muttiah Muralitharan","Sri Lanka","Batting style Right-hand bat","Bowling style Right-arm offbreak"
"892",53,21,10,44,10,4,121,36.36,0,0,2,0,7,0,53,52,2476,2508,75,33.44,6.07,33,2,1,0," Shanthakumaran Sreesanth","India","Batting style Right-hand bat","Bowling style Right-arm fast-medium"
"893",188,161,23,4483,141,32.48,5645,79.41,4,28,353,68,73,0,188,161,6114,4839,137,35.32,4.74,44.6,4,1,0," Scott Bernard Styris","New Zealand","Batting style Right-hand bat","Bowling style Right-arm medium"
"894",41,37,1,1046,139,29.05,1572,66.53,1,7,117,7,19,0,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Jamie Michael How","New Zealand","Batting style Right-hand bat","Bowling style Right-arm medium, Right-arm offbreak"
