"","Mat_Bat","Inns_Bat","NO","Runs_Bat","HS","Ave_Bat","BF","SR_Bat","100","50","4s","6s","Ct","St","Mat_Bowl","Inns_Bowl","Balls","Runs_Bowl","Wkts","Ave_Bowl","Econ","SR_Bowl","4w","5w","10","Full_Name","Country","Batting_Style","Bowling_Style"
"86",112,100,28,2780,139,38.61,2737,101.57,5,12,207,81,54,0,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," David Andrew Miller","South Africa","Batting style Left-hand bat","Bowling style Right-arm offbreak"
"87",98,98,5,4133,178,44.44,4381,94.33,13,17,471,59,139,7,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Quinton de Kock","South Africa","Batting style Left-hand bat",NA
"88",9,9,0,244,102,27.11,311,78.45,1,1,21,2,8,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Reeza Raphael Hendricks","South Africa","Batting style Right-hand bat","Bowling style Right-arm medium-fast"
"89",16,16,0,407,66,25.43,462,88.09,0,1,49,9,6,0,16,3,48,56,2,28,7,24,0,0,0," Aiden Kyle Markram","South Africa","Batting style Right-hand bat","Bowling style Right-arm offbreak"
"90",124,119,15,4693,185,45.12,5298,88.58,10,29,411,58,65,0,124,11,192,189,2,94.5,5.9,96,0,0,0," Francois du Plessis","South Africa","Batting style Right-hand bat","Bowling style Legbreak"
"91",12,12,2,251,59,25.1,290,86.55,0,1,26,6,16,2,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Heinrich Klaasen","South Africa","Batting style Right-hand bat",NA
"92",14,7,1,101,50,16.83,113,89.38,0,1,7,3,3,0,14,14,686,554,22,25.18,4.84,31.1,0,0,0," Dwaine Pretorius","South Africa","Batting style Right-hand bat","Bowling style Right-arm medium-fast"
"93",121,50,12,365,60,9.6,560,65.17,0,1,35,9,28,0,121,120,6076,4935,192,25.7,4.87,31.6,4,3,0," Dale Willem Steyn","South Africa","Batting style Right-hand bat","Bowling style Right-arm fast"
"94",57,22,10,198,26,16.5,256,77.34,0,0,16,4,17,0,57,56,2911,2428,93,26.1,5,31.3,6,1,0," Kagiso Rabada","South Africa","Batting style Left-hand bat","Bowling style Right-arm fast"
"95",13,6,5,34,19,34,44,77.27,0,0,4,1,4,0,13,13,646,599,26,23.03,5.56,24.8,2,0,0," Lungisani Ngidi","South Africa","Batting style Right-hand bat","Bowling style Right-arm fast"
"96",91,30,13,140,29,8.23,197,71.06,0,0,20,1,17,0,91,89,4701,3675,151,24.33,4.69,31.1,6,3,0," Mohammad Imran Tahir","South Africa","Batting style Right-hand bat","Bowling style Legbreak googly"
"97",75,38,16,280,52,12.72,313,89.45,0,1,23,7,19,0,75,75,3761,3109,145,21.44,4.95,25.9,9,5,0," Mitchell Aaron Starc","Australia","Batting style Left-hand bat","Bowling style Left-arm fast"
"98",44,13,11,37,11,18.5,57,64.91,0,0,6,0,13,0,44,43,2294,1811,72,25.15,4.73,31.8,1,3,0," Josh Reginald Hazlewood","Australia","Batting style Left-hand bat","Bowling style Right-arm fast-medium"
"99",42,23,9,166,36,11.85,246,67.47,0,0,13,3,6,0,42,42,2184,1933,65,29.73,5.31,33.6,4,0,0," Patrick James Cummins","Australia","Batting style Right-hand bat","Bowling style Right-arm fast"
"100",21,21,4,721,146,42.41,734,98.22,1,5,53,32,4,0,21,19,774,781,18,43.38,6.05,43,0,0,0," Marcus Peter Stoinis","Australia","Batting style Right-hand bat","Bowling style Right-arm medium"
"101",33,16,4,89,22,7.41,140,63.57,0,0,6,1,8,0,33,33,1630,1548,42,36.85,5.69,38.8,0,0,0," Adam Zampa","Australia","Batting style Right-hand bat","Bowling style Legbreak googly"
"102",87,78,8,2242,102,32.02,1852,121.05,1,16,222,73,50,0,87,66,1978,1844,45,40.97,5.59,43.9,2,0,0," Glenn James Maxwell","Australia","Batting style Right-hand bat","Bowling style Right-arm offbreak"
"103",4,4,0,75,44,18.75,89,84.26,0,0,5,3,3,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Christopher Austin Lynn","Australia","Batting style Right-hand bat","Bowling style Slow left-arm orthodox"
"104",96,92,1,3418,148,37.56,3817,89.54,11,18,355,76,46,0,96,14,158,137,2,68.5,5.2,79,0,0,0," Aaron James Finch","Australia","Batting style Right-hand bat","Bowling style Slow left-arm orthodox"
"105",60,59,2,2312,151,40.56,2850,81.12,6,12,214,30,16,0,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Shaun Edward Marsh","Australia","Batting style Left-hand bat","Bowling style Slow left-arm orthodox"
"106",42,39,2,1273,128,34.4,1414,90.02,1,10,135,16,12,0,42,26,765,737,12,61.41,5.78,63.7,0,0,0," Travis Michael Head","Australia","Batting style Left-hand bat","Bowling style Right-arm offbreak"
"107",6,6,0,199,47,33.16,253,78.65,0,0,17,2,5,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Alex Tyson Carey","Australia","Batting style Left-hand bat",NA
